ndcg_5	ndcg_10	lndcg_5	lndcg_10	lndcg1_5	lndcg1_10	ndcg1_5	ndcg1_10
0.17979161	0.20884119	0.25659987	0.28113818	0.2572447	0.28181207	0.18023534	0.20928995
0.18319176	0.21202812	0.25982583	0.2843793	0.259949	0.28468555	0.18310341	0.21274833
0.18775935	0.21616411	0.2670319	0.28908423	0.26683754	0.28990296	0.18850558	0.21674551
0.19242308	0.22007228	0.27132565	0.29313523	0.27211785	0.29340658	0.19186695	0.21965517
0.19418031	0.22302806	0.27618128	0.29813603	0.27605826	0.29826626	0.19644044	0.2243539
0.20007657	0.22802147	0.27933586	0.30103496	0.28231445	0.30247387	0.2006716	0.22803515
0.20242229	0.23000412	0.28477567	0.30509126	0.28568882	0.3055741	0.2042304	0.23145947
0.2059104	0.23363565	0.28860846	0.30849814	0.2891212	0.30920193	0.20623758	0.23418298
0.20805766	0.23643827	0.2913346	0.31210503	0.29293564	0.3134019	0.20823961	0.23651698
0.21030214	0.23934896	0.29435703	0.3158783	0.29465684	0.31599522	0.21113557	0.2394294
0.2129335	0.2425984	0.29859695	0.3203843	0.29789224	0.32011738	0.2132083	0.24284719
0.21537586	0.24541277	0.30151027	0.32387513	0.3016811	0.32431784	0.21744446	0.24625295
0.22129518	0.25226212	0.3074037	0.33020377	0.30748552	0.33077106	0.2225538	0.25267655
0.22525914	0.255808	0.31198272	0.33568957	0.31259876	0.33685434	0.22560136	0.25735095
0.23161554	0.2641173	0.318599	0.34504536	0.3186949	0.34488326	0.23136418	0.26408666
0.23229586	0.2642354	0.31990606	0.34524256	0.31995794	0.34640047	0.23270397	0.26448596
0.23563153	0.26640666	0.3247813	0.34799778	0.3250739	0.35078922	0.23577267	0.2664489
0.23609936	0.2656645	0.32316387	0.34666708	0.32592264	0.34896538	0.23826577	0.26679024
0.2399802	0.2682088	0.3283743	0.34980473	0.32918194	0.35124096	0.24112998	0.26863122
0.24258429	0.2684938	0.3315663	0.35042477	0.33126354	0.3509594	0.24215664	0.2679984
0.24494126	0.26978996	0.33404684	0.35284325	0.33376864	0.3531353	0.24587017	0.2713582
0.24658614	0.27081993	0.33647257	0.35354668	0.33469382	0.3540848	0.24855617	0.2718214
0.24761845	0.2717108	0.33717984	0.35402048	0.33980486	0.35542828	0.24988565	0.27344462
0.25277686	0.27485067	0.34232816	0.357055	0.34354863	0.35785815	0.2538842	0.2766352
0.25444672	0.27558458	0.34527752	0.35888484	0.34645784	0.3601116	0.25516945	0.27685928
