ndcg_5	ndcg_10	lndcg_5	lndcg_10	lndcg1_5	lndcg1_10	ndcg1_5	ndcg1_10
0.18098077	0.20963246	0.26070365	0.2840275	0.26249927	0.28582007	0.18277179	0.21142218
0.18124716	0.21083286	0.26135728	0.28570127	0.26319197	0.28749606	0.18303816	0.21262258
0.18535955	0.2141363	0.26613867	0.2891705	0.2679145	0.2909477	0.18714526	0.21592201
0.19336742	0.22065836	0.27528235	0.2959353	0.27706805	0.2977223	0.19515315	0.22244407
0.19875117	0.22561595	0.2805234	0.30046576	0.2823091	0.3022515	0.20053688	0.2274026
0.20477942	0.23055616	0.28627473	0.30597198	0.28806043	0.30775768	0.20656514	0.2323419
0.21061192	0.23413494	0.2934182	0.31000328	0.2952039	0.31179	0.21239765	0.23591973
0.21580958	0.23957506	0.2989618	0.31538042	0.30074748	0.31716612	0.21760058	0.2413657
0.21677005	0.24034764	0.29970798	0.3164951	0.3014937	0.3182808	0.21855855	0.24213548
0.22092302	0.2436533	0.30440128	0.3204249	0.30615407	0.32220873	0.22270595	0.24543694
0.22254162	0.24716936	0.30645844	0.32452944	0.30824414	0.3263135	0.22432733	0.2489536
0.2260034	0.25045198	0.31022653	0.32851806	0.31201753	0.33030558	0.2277919	0.25223896
0.2295657	0.25558382	0.31441098	0.33394033	0.3161855	0.33571795	0.2313849	0.25737146
0.23257963	0.25949672	0.31737423	0.33830982	0.31925553	0.34016088	0.23427056	0.26122445
0.23733766	0.26880813	0.32366621	0.34877664	0.32539192	0.35054833	0.23911946	0.27060407
0.23770657	0.26867902	0.32366815	0.349833	0.3256042	0.35171977	0.23956923	0.27052307
0.24095453	0.26942056	0.3281908	0.35095304	0.3299769	0.35274076	0.24278457	0.27123386
0.24318945	0.26831102	0.32992235	0.3499093	0.3317011	0.3516901	0.24498206	0.27010265
0.24697159	0.27159512	0.3341713	0.35272533	0.33596817	0.3545221	0.24876332	0.27338523
0.24874865	0.27156553	0.33673263	0.35318422	0.3385183	0.35496995	0.25053436	0.27335122
0.24972548	0.27384824	0.33760747	0.35446596	0.33939317	0.35628015	0.25151494	0.27563334
0.250628	0.27440557	0.33914742	0.355831	0.3409351	0.35758993	0.25242	0.2761779
0.25306708	0.27497658	0.34080565	0.35627353	0.34259138	0.35805926	0.25477105	0.2767434
0.25386602	0.27737284	0.34265086	0.3587662	0.3444756	0.3605825	0.25565168	0.27917752
0.2538832	0.27663985	0.3425635	0.35791305	0.3443381	0.3596939	0.2556689	0.2784299
