ndcg_5	ndcg_10	lndcg_5	lndcg_10	lndcg1_5	lndcg1_10	ndcg1_5	ndcg1_10
0.17979161	0.20884119	0.25659987	0.28113818	0.2572447	0.28181207	0.18023534	0.20928995
0.18319176	0.21202812	0.25982583	0.2843793	0.259949	0.28468555	0.18310341	0.21274833
0.18775935	0.21616411	0.2670319	0.28908423	0.26683754	0.28990296	0.18850558	0.21674551
0.19242308	0.22007228	0.27132565	0.29313523	0.27211785	0.29340658	0.19186695	0.21965517
0.19418031	0.22302806	0.27618128	0.29813603	0.27605826	0.29826626	0.19644044	0.2243539
0.20007657	0.22802147	0.27933586	0.30103496	0.28231445	0.30247387	0.2006716	0.22803515
0.20242229	0.23000412	0.28477567	0.30509126	0.28568882	0.3055741	0.2042304	0.23145947
0.2059104	0.23363565	0.28860846	0.30849814	0.2891212	0.30920193	0.20623758	0.23418298
0.20805766	0.23643827	0.2913346	0.31210503	0.29293564	0.3134019	0.20823961	0.23651698
0.21030214	0.23934896	0.29435703	0.3158783	0.29465684	0.31599522	0.21113557	0.2394294
0.2129335	0.2425984	0.29859695	0.3203843	0.29789224	0.32011738	0.2132083	0.24284719
0.21537586	0.24541277	0.30151027	0.32387513	0.3016811	0.32431784	0.21744446	0.24625295
0.22129518	0.25226212	0.3074037	0.33020377	0.30748552	0.33077106	0.2225538	0.25267655
0.22525914	0.255808	0.31198272	0.33568957	0.31259876	0.33685434	0.22560136	0.25735095
0.23161554	0.2641173	0.318599	0.34504536	0.3186949	0.34488326	0.23136418	0.26408666
0.23229586	0.2642354	0.31990606	0.34524256	0.31995794	0.34640047	0.23270397	0.26448596
0.23563153	0.26640666	0.3247813	0.34799778	0.3250739	0.35078922	0.23577267	0.2664489
0.23609936	0.2656645	0.32316387	0.34666708	0.32592264	0.34896538	0.23826577	0.26679024
0.2399802	0.2682088	0.3283743	0.34980473	0.32918194	0.35124096	0.24112998	0.26863122
0.24258429	0.2684938	0.3315663	0.35042477	0.33126354	0.3509594	0.24215664	0.2679984
0.24494126	0.26978996	0.33404684	0.35284325	0.33376864	0.3531353	0.24587017	0.2713582
0.24658614	0.27081993	0.33647257	0.35354668	0.33469382	0.3540848	0.24855617	0.2718214
0.24761845	0.2717108	0.33717984	0.35402048	0.33980486	0.35542828	0.24988565	0.27344462
0.25277686	0.27485067	0.34232816	0.357055	0.34354863	0.35785815	0.2538842	0.2766352
0.25444672	0.27558458	0.34527752	0.35888484	0.34645784	0.3601116	0.25516945	0.27685928
0.25248468	0.27380928	0.34393743	0.3584754	0.3449728	0.35948217	0.25432608	0.2749099
0.25489166	0.27644235	0.34625986	0.36024094	0.34588265	0.36049792	0.2560233	0.27774894
0.2563284	0.27871895	0.34824818	0.3629856	0.34878802	0.36300197	0.25823072	0.28037962
0.2561477	0.27807415	0.34746006	0.36221066	0.34687975	0.36239415	0.2588535	0.27948642
0.26114473	0.28394482	0.35265595	0.36693555	0.3529981	0.36756152	0.26254618	0.28470528
0.26359344	0.2848087	0.3526745	0.36735445	0.35318843	0.36761445	0.26227084	0.28455213
0.26256272	0.28398943	0.3542344	0.36806414	0.35470873	0.36837426	0.26275522	0.28433564
0.26390916	0.28631967	0.3564078	0.36950395	0.3559479	0.37009054	0.2638184	0.2848439
0.2615432	0.2841996	0.3543267	0.3699342	0.35415563	0.3692476	0.26378307	0.2862431
0.26503062	0.2881975	0.357489	0.37284014	0.356155	0.37275758	0.2647375	0.28926712
0.26660424	0.2901097	0.35812628	0.37383497	0.3607792	0.37397364	0.2668659	0.2904652
0.2669589	0.29017738	0.35849237	0.37353414	0.36063063	0.37498245	0.2695189	0.291259
0.26758683	0.29107204	0.35887855	0.3745641	0.36015308	0.37525377	0.26797223	0.29163423
0.26807082	0.29007024	0.35864192	0.37343675	0.35864267	0.3735527	0.26745498	0.291113
0.26867437	0.29215834	0.36074367	0.37617064	0.3611044	0.37685552	0.26984972	0.29346755
0.2673444	0.29038474	0.3602198	0.37432376	0.36138234	0.37521863	0.26855958	0.29142693
0.26996678	0.29121622	0.3606105	0.37557277	0.36204222	0.3766239	0.26858944	0.29254243
0.26967916	0.29404846	0.3619524	0.37773502	0.36195263	0.37726584	0.26941276	0.29475978
0.2711591	0.29498383	0.36354905	0.37793645	0.3650608	0.37866396	0.2711345	0.29503897
0.26995552	0.29230496	0.36217034	0.37638488	0.3637187	0.37786236	0.27041805	0.2929856
0.2721164	0.2950606	0.36550656	0.3801657	0.36587527	0.3806925	0.27111214	0.29502544
0.27313554	0.29667383	0.3682736	0.3816607	0.36811748	0.381602	0.2747269	0.2995092
0.27133211	0.29631764	0.3650214	0.3806153	0.36531448	0.3802672	0.27317777	0.2973319
0.27216604	0.2950748	0.3640152	0.37887368	0.36732477	0.3808316	0.27268332	0.29589128
0.27245647	0.29722103	0.36541215	0.3818525	0.36724544	0.38134143	0.2725753	0.29631168
