ndcg_5	ndcg_10	lndcg_5	lndcg_10	lndcg1_5	lndcg1_10	ndcg1_5	ndcg1_10
0.18098077	0.20963246	0.26070365	0.2840275	0.26249927	0.28582007	0.18277179	0.21142218
0.18124716	0.21083286	0.26135728	0.28570127	0.26319197	0.28749606	0.18303816	0.21262258
0.18535955	0.2141363	0.26613867	0.2891705	0.2679145	0.2909477	0.18714526	0.21592201
0.19336742	0.22065836	0.27528235	0.2959353	0.27706805	0.2977223	0.19515315	0.22244407
0.19875117	0.22561595	0.2805234	0.30046576	0.2823091	0.3022515	0.20053688	0.2274026
0.20477942	0.23055616	0.28627473	0.30597198	0.28806043	0.30775768	0.20656514	0.2323419
0.21061192	0.23413494	0.2934182	0.31000328	0.2952039	0.31179	0.21239765	0.23591973
0.21580958	0.23957506	0.2989618	0.31538042	0.30074748	0.31716612	0.21760058	0.2413657
0.21677005	0.24034764	0.29970798	0.3164951	0.3014937	0.3182808	0.21855855	0.24213548
0.22092302	0.2436533	0.30440128	0.3204249	0.30615407	0.32220873	0.22270595	0.24543694
0.22254162	0.24716936	0.30645844	0.32452944	0.30824414	0.3263135	0.22432733	0.2489536
0.2260034	0.25045198	0.31022653	0.32851806	0.31201753	0.33030558	0.2277919	0.25223896
0.2295657	0.25558382	0.31441098	0.33394033	0.3161855	0.33571795	0.2313849	0.25737146
0.23257963	0.25949672	0.31737423	0.33830982	0.31925553	0.34016088	0.23427056	0.26122445
0.23733766	0.26880813	0.32366621	0.34877664	0.32539192	0.35054833	0.23911946	0.27060407
0.23770657	0.26867902	0.32366815	0.349833	0.3256042	0.35171977	0.23956923	0.27052307
0.24095453	0.26942056	0.3281908	0.35095304	0.3299769	0.35274076	0.24278457	0.27123386
0.24318945	0.26831102	0.32992235	0.3499093	0.3317011	0.3516901	0.24498206	0.27010265
0.24697159	0.27159512	0.3341713	0.35272533	0.33596817	0.3545221	0.24876332	0.27338523
0.24874865	0.27156553	0.33673263	0.35318422	0.3385183	0.35496995	0.25053436	0.27335122
0.24972548	0.27384824	0.33760747	0.35446596	0.33939317	0.35628015	0.25151494	0.27563334
0.250628	0.27440557	0.33914742	0.355831	0.3409351	0.35758993	0.25242	0.2761779
0.25306708	0.27497658	0.34080565	0.35627353	0.34259138	0.35805926	0.25477105	0.2767434
0.25386602	0.27737284	0.34265086	0.3587662	0.3444756	0.3605825	0.25565168	0.27917752
0.2538832	0.27663985	0.3425635	0.35791305	0.3443381	0.3596939	0.2556689	0.2784299
0.2546872	0.2761337	0.34335577	0.35855213	0.34510243	0.3603381	0.2564894	0.27792788
0.254662	0.27745107	0.34403053	0.3595203	0.34581622	0.36130702	0.25645772	0.27926406
0.257136	0.2805765	0.3469021	0.36316034	0.34868783	0.36494607	0.25890473	0.28234804
0.25769526	0.28070796	0.34674722	0.36249936	0.348503	0.3642896	0.259481	0.2824748
0.2614017	0.2846812	0.3502567	0.36592007	0.3520516	0.3677125	0.2631774	0.28645858
0.2612685	0.28689057	0.3502865	0.36881402	0.3520678	0.37056825	0.26305425	0.2886763
0.26340026	0.28741962	0.35247985	0.36985633	0.35426557	0.37164062	0.26518592	0.28920627
0.26547575	0.28985396	0.35555705	0.37258744	0.35728273	0.37433022	0.2672514	0.2916313
0.26387855	0.28806683	0.35386673	0.37103555	0.35565448	0.37282595	0.26566425	0.28985107
0.26809698	0.2912462	0.35685363	0.37260872	0.35863936	0.37439302	0.26988268	0.2930319
0.26887736	0.293669	0.35830802	0.37608987	0.36008257	0.37786722	0.27066618	0.29545724
0.2676709	0.2930185	0.35742348	0.37554255	0.3592092	0.37732828	0.26945662	0.2948042
0.2678653	0.2946329	0.3573671	0.37674794	0.35915282	0.37853223	0.26965412	0.2964221
0.2682959	0.29340202	0.3584462	0.37665504	0.3602319	0.37844217	0.27006462	0.29517353
0.27015123	0.2963554	0.3600768	0.3788626	0.36186698	0.38065138	0.27193308	0.29813832
0.26704746	0.29313612	0.35799757	0.37709177	0.35977885	0.378873	0.2688432	0.2949302
0.2699257	0.29535642	0.36032605	0.37858024	0.36203077	0.38035968	0.27171144	0.29714218
0.27103558	0.29523486	0.36121017	0.3778676	0.3629959	0.3796519	0.272903	0.29702058
0.27249423	0.29829094	0.3634411	0.38148832	0.36514583	0.38326794	0.27419123	0.3000699
0.26973134	0.29653093	0.3605103	0.38009787	0.36230716	0.3818919	0.27161264	0.29832718
0.27330014	0.29819444	0.3651704	0.38236484	0.3669561	0.38415232	0.27509588	0.29998848
0.2743109	0.29932013	0.36587483	0.38309327	0.3676402	0.38486218	0.27611357	0.30112123
0.27229962	0.29893252	0.3632773	0.381971	0.3650327	0.3837566	0.27425095	0.30078015
0.2717119	0.29797536	0.36338058	0.38199508	0.3650775	0.38372076	0.27358526	0.29982582
0.27316844	0.2990387	0.36428285	0.3828667	0.36606857	0.3846524	0.27486548	0.3008186
