ndcg_5	ndcg_10	lndcg_5	lndcg_10	lndcg1_5	lndcg1_10	ndcg1_5	ndcg1_10
0.2094946	0.2407123	0.22683369	0.2567292	0.36412877	0.39572373	0.36498782	0.39447144
0.22664948	0.2601883	0.22476168	0.25912827	0.37315407	0.405182	0.36244255	0.39246184
0.23854282	0.27086866	0.24407466	0.27510712	0.38750428	0.4196963	0.37120265	0.40741768
0.23925024	0.2721606	0.2527072	0.27937227	0.39961562	0.43267617	0.38217786	0.4193024
0.2399331	0.27467692	0.2505465	0.28183994	0.39941266	0.430071	0.38937747	0.42277306
0.243571	0.2774135	0.26057163	0.29125994	0.39910772	0.42870176	0.38794643	0.421029
0.2421882	0.27749908	0.26249546	0.29376423	0.40411037	0.4350698	0.3971549	0.4331491
0.24751656	0.27653703	0.26966405	0.29779595	0.40710238	0.43855527	0.3832923	0.4171242
0.24741553	0.28286043	0.26870388	0.29604945	0.41121614	0.4385817	0.38784745	0.4185633
0.24153227	0.27884385	0.2582844	0.29402897	0.40553245	0.43753552	0.3962974	0.43054965
0.2481567	0.2841397	0.25794333	0.29269356	0.41244483	0.44083422	0.3946027	0.42751673
0.25570598	0.2893185	0.25988913	0.2946175	0.41510603	0.44658437	0.39187372	0.42943212
0.24561183	0.28210866	0.26206136	0.2908662	0.4133824	0.43959892	0.39323717	0.42720267
0.25546	0.2896131	0.26001617	0.29687607	0.4032524	0.4376427	0.39916354	0.43338758
0.2450077	0.28339964	0.27475706	0.3050569	0.40982074	0.44181204	0.39466175	0.42506775
0.23905024	0.2752685	0.26231408	0.29267144	0.4076268	0.438001	0.3968959	0.42567477
0.2565138	0.29021323	0.26880354	0.2991902	0.40526178	0.4334214	0.39693323	0.43091953
0.26167715	0.29072782	0.25788608	0.2915878	0.40112057	0.43423727	0.40282762	0.43902525
0.25193477	0.28340045	0.26488066	0.29075342	0.4010013	0.43400714	0.40851247	0.43717286
0.25481588	0.28626248	0.262445	0.2983708	0.4136106	0.44432336	0.3912066	0.4226608
0.26075107	0.29034755	0.2596424	0.2899538	0.41417414	0.445266	0.40220317	0.4363571
0.25676355	0.2861286	0.2628698	0.29769275	0.41815913	0.44529906	0.39850843	0.4337375
0.2559121	0.2875419	0.2662684	0.29665592	0.41165695	0.4473397	0.39560133	0.42801407
0.25302172	0.28874165	0.26177168	0.29350585	0.41350564	0.44608086	0.39584193	0.43315753
0.24364929	0.27939737	0.27306515	0.30143377	0.42593518	0.45473167	0.40242165	0.43419963
0.2454884	0.28640723	0.25929418	0.29267988	0.40797138	0.43926033	0.40176472	0.43436515
0.24771507	0.2824778	0.2658951	0.29690063	0.41420752	0.44419932	0.40206933	0.43259797
0.25630584	0.28994918	0.26919296	0.30230525	0.417708	0.44659302	0.4066947	0.44000047
0.25227457	0.286222	0.27240196	0.3003163	0.41520533	0.4526205	0.4060404	0.43480042
0.25994685	0.29519033	0.28007492	0.31073788	0.40774995	0.44323543	0.40882453	0.43955737
0.2563967	0.28720218	0.25797635	0.2930394	0.4136944	0.44367942	0.40546337	0.43891442
0.25161305	0.28817555	0.276093	0.30837604	0.42107067	0.45126376	0.40811154	0.44313526
0.26513737	0.29921463	0.27328855	0.30608678	0.42379585	0.44776073	0.40654057	0.43927372
0.26747018	0.2968216	0.2767512	0.3056024	0.4202729	0.4497599	0.4009491	0.43865272
0.2637478	0.29742792	0.2792437	0.30906662	0.41960123	0.45255032	0.4103727	0.44178364
0.26490116	0.30011776	0.28832453	0.31658515	0.41878298	0.449936	0.41680574	0.44878536
0.25970408	0.2958906	0.27851087	0.30747148	0.42119431	0.45303416	0.40474275	0.4418241
0.25499496	0.29539028	0.27452675	0.30425406	0.4205587	0.45606163	0.41605565	0.45049828
0.2613583	0.2994658	0.27155504	0.30882075	0.42415738	0.45639363	0.40970138	0.44302887
0.26305473	0.30111262	0.28071603	0.31613687	0.42421967	0.45330653	0.41643122	0.44447374
0.26610884	0.29627424	0.28196758	0.3133695	0.4103402	0.44504723	0.41551852	0.4493751
0.27170947	0.30203077	0.27359524	0.30877954	0.4283472	0.4567994	0.4109431	0.4438261
0.27207574	0.30480826	0.2859153	0.31691584	0.42183477	0.45604187	0.40933067	0.44442275
0.27578732	0.31125015	0.27766952	0.31004256	0.4285946	0.4614944	0.41112977	0.44669473
0.28027174	0.31492004	0.2747272	0.30835482	0.4270779	0.46127775	0.40016142	0.43889982
0.26149145	0.29672283	0.28024986	0.31547225	0.43019012	0.46233824	0.401729	0.44058123
0.26492515	0.30347165	0.28250125	0.3093574	0.41944474	0.45185584	0.40143898	0.43860027
0.26758423	0.2998043	0.28088894	0.3145142	0.42649892	0.46202263	0.41643015	0.44496915
0.27969214	0.31397414	0.28497052	0.31474727	0.4319273	0.46013445	0.4098205	0.44613135
0.2683599	0.30330193	0.28372708	0.31761768	0.4212398	0.45802993	0.40803885	0.44194084
