ndcg_5	ndcg_10	lndcg_5	lndcg_10	lndcg1_5	lndcg1_10	ndcg1_5	ndcg1_10
0.23084378	0.27198043	0.24173032	0.28133106	0.3715238	0.41112453	0.36063722	0.401774
0.25336882	0.2966503	0.2643415	0.30570832	0.39413497	0.4355018	0.3831623	0.42644376
0.25402808	0.3046847	0.26434374	0.31393158	0.39413723	0.44372508	0.38382155	0.43447798
0.24935335	0.29412	0.26047412	0.30484974	0.39026758	0.43464306	0.37914687	0.42391357
0.26077855	0.29479158	0.27406627	0.30685213	0.40385973	0.4366456	0.39057207	0.42458513
0.2633646	0.2976164	0.27702144	0.30973524	0.4068148	0.4395289	0.3931581	0.42740995
0.26631233	0.30181926	0.28014442	0.31388953	0.4099377	0.443683	0.3961057	0.43161276
0.26875526	0.3065875	0.28173804	0.31866285	0.41153148	0.4484565	0.39854872	0.43638092
0.2686691	0.30552894	0.28155887	0.31743652	0.41135228	0.44722992	0.39846253	0.43532246
0.27122355	0.30659983	0.2846216	0.31896	0.41441506	0.44875365	0.4010171	0.43639344
0.27536327	0.3090303	0.28964964	0.3218601	0.419443	0.4516537	0.40515667	0.4388238
0.2813291	0.31300902	0.2961741	0.32600078	0.4259676	0.45579448	0.4111226	0.44280267
0.28168795	0.3142344	0.29689986	0.32744133	0.4266934	0.45723507	0.4114815	0.44402805
0.27858838	0.31396192	0.29380202	0.32736075	0.42359546	0.4571543	0.4083819	0.44375557
0.28119424	0.3149021	0.296795	0.328462	0.4265884	0.4582556	0.4109878	0.4446957
0.28031594	0.3123719	0.2960689	0.3263307	0.42586237	0.4561243	0.4101094	0.4421655
0.2820481	0.3136098	0.29777738	0.32749876	0.427571	0.4572926	0.41184157	0.44340357
0.2859425	0.31373027	0.30133638	0.32739678	0.43112993	0.4571905	0.41573605	0.44352385
0.28627744	0.31218144	0.30166543	0.32583362	0.43145895	0.4556273	0.41607103	0.4419751
0.28608927	0.3149156	0.30168578	0.32850718	0.43147922	0.4583009	0.4158827	0.44470918
0.28619573	0.3152323	0.3021999	0.3292072	0.4319935	0.45900095	0.41598928	0.44502583
0.28468028	0.31352368	0.30068904	0.327334	0.43048257	0.45712772	0.41447377	0.44331715
0.2871724	0.31295118	0.30306578	0.32672694	0.4328592	0.4565206	0.41696593	0.44274452
0.2888192	0.3179558	0.30486044	0.33204243	0.434654	0.4618359	0.41861272	0.44774923
0.28917027	0.31712446	0.30509934	0.33128613	0.4348927	0.46107948	0.41896376	0.44691792
0.29087695	0.32184294	0.30689013	0.33610126	0.4366836	0.46589473	0.42067036	0.45163643
0.28952646	0.3218514	0.30555004	0.33608794	0.4353434	0.46588144	0.41932002	0.4516448
0.2923395	0.3239488	0.30814162	0.33830634	0.43793502	0.46809986	0.42213297	0.45374224
0.28846478	0.32078892	0.30420402	0.33512264	0.4339975	0.46491614	0.41825816	0.4505824
0.28922492	0.32250723	0.30488425	0.3364771	0.43467775	0.46627042	0.41901842	0.4523007
0.28929192	0.32422173	0.304783	0.33811358	0.43457648	0.46790698	0.41908535	0.4540153
0.28696364	0.32089886	0.30258662	0.3349088	0.4323801	0.46470216	0.4167571	0.45069227
0.29102087	0.3250012	0.30672422	0.3389178	0.4365178	0.4687112	0.4208144	0.4547946
0.29069212	0.32838318	0.30649924	0.3419566	0.4362928	0.47175005	0.42048547	0.4581767
0.29191482	0.3317928	0.3079615	0.34557533	0.437755	0.4753689	0.42170823	0.46158648
0.2935912	0.3299773	0.30937362	0.34368423	0.43916717	0.47347775	0.4233845	0.45977086
0.29270756	0.32838887	0.30855662	0.34229738	0.4383501	0.4720909	0.4225008	0.45818236
0.29263154	0.32734174	0.30835077	0.34131554	0.43814424	0.471109	0.42242485	0.45713523
0.29272866	0.33017808	0.30846915	0.34414467	0.4382626	0.47393808	0.42252198	0.45997152
0.29300302	0.3327931	0.30890098	0.3466503	0.43869445	0.4764437	0.42279628	0.4625865
0.29292506	0.33209154	0.30867058	0.345895	0.43846402	0.4756886	0.4227185	0.46188504
0.29241085	0.33262852	0.3083821	0.34658396	0.43817547	0.47637737	0.42220423	0.46242198
0.2905471	0.33711043	0.3062689	0.35073772	0.43606234	0.48053113	0.42034063	0.46690395
0.2925257	0.33567014	0.308262	0.34928322	0.4380554	0.47907683	0.42231926	0.46546373
0.29240876	0.33739808	0.30850676	0.35126904	0.43830016	0.48106253	0.42220223	0.46719173
0.2968077	0.34106112	0.31305206	0.3548561	0.44284558	0.48464966	0.42660126	0.47085455
0.29495594	0.3392663	0.3109375	0.3530638	0.44073105	0.48285726	0.4247495	0.46905977
0.2920067	0.33738032	0.30794442	0.3510533	0.43773785	0.48084694	0.42180014	0.46717384
0.29594347	0.3408974	0.3116883	0.35425124	0.44148168	0.48404458	0.4257369	0.47069076
0.29700455	0.34109625	0.31269953	0.3545224	0.44249296	0.48431584	0.42679805	0.47088966
