ndcg_5	ndcg_10	lndcg_5	lndcg_10	lndcg1_5	lndcg1_10	ndcg1_5	ndcg1_10
0.18037732	0.20984833	0.25763053	0.2822008	0.25812557	0.28244114	0.18087599	0.21057822
0.1836149	0.21280332	0.26098585	0.28461456	0.26134464	0.28541976	0.18368444	0.21310334
0.18687324	0.2161572	0.2646886	0.2883363	0.26469564	0.28866625	0.18751474	0.21702203
0.19070302	0.21962398	0.2686794	0.29208225	0.2702275	0.29331198	0.19037217	0.21985826
0.19401169	0.22339201	0.27348116	0.29619145	0.27372634	0.29639408	0.19436377	0.22393893
0.19860984	0.22707924	0.27888632	0.30091244	0.27862892	0.3011082	0.19854246	0.22752516
0.20054819	0.22914511	0.28179345	0.30349582	0.28129598	0.3032848	0.20160288	0.2300793
0.20333667	0.2320185	0.283248	0.30528545	0.28428492	0.30589804	0.20425104	0.23321767
0.20719895	0.23502997	0.28945613	0.30988628	0.29102737	0.31119487	0.20682633	0.23552988
0.21008109	0.23808415	0.29293185	0.31303668	0.29407895	0.31437826	0.20900285	0.23796646
0.21352218	0.24183343	0.296587	0.31664833	0.29589844	0.31656507	0.21329714	0.2417859
0.21599917	0.24463375	0.30032495	0.32066205	0.30094197	0.3220939	0.21595055	0.24571213
0.2192844	0.24788173	0.30416685	0.32423064	0.3051529	0.32565784	0.2202564	0.2493144
0.22458182	0.25327164	0.31066483	0.3305268	0.3095883	0.33033854	0.22398329	0.25363296
0.22748826	0.2584496	0.3136178	0.33547518	0.31411928	0.3361084	0.22840299	0.2585264
0.23059593	0.26243192	0.31740847	0.33891037	0.31807494	0.34030074	0.23159264	0.2622619
0.2331545	0.266195	0.31994182	0.34342673	0.31937537	0.34416687	0.23585464	0.26745787
0.23674376	0.26844922	0.32220182	0.34482467	0.32417652	0.34674424	0.23832807	0.26895717
0.24083996	0.2709167	0.32649955	0.34846476	0.32764426	0.349038	0.2419591	0.2711478
0.24388771	0.27223727	0.32907876	0.350453	0.33195698	0.351759	0.24520653	0.27414387
0.24808891	0.2762917	0.33477473	0.3543898	0.33490956	0.35466865	0.24697015	0.27619183
0.25077638	0.27771077	0.33589214	0.354192	0.33808494	0.35559925	0.2518327	0.27802274
0.25252566	0.27958384	0.33923927	0.3575291	0.34121427	0.35859233	0.25396395	0.28069052
0.2563357	0.2819818	0.34230417	0.35941797	0.34221295	0.3596407	0.25695315	0.2819295
0.25874963	0.28411597	0.3461182	0.36230025	0.34623316	0.3633437	0.25849012	0.284714
0.25920886	0.28556636	0.3476335	0.3634928	0.34828004	0.36447483	0.26086706	0.2862881
0.25964284	0.28524882	0.34983423	0.36449173	0.34974754	0.36480683	0.26101187	0.28581408
0.2652451	0.29164115	0.3512103	0.36842257	0.35411575	0.36931452	0.265291	0.29088208
0.26419762	0.2912598	0.3528341	0.36977902	0.35334432	0.37096226	0.26600927	0.29324907
0.26383883	0.28905103	0.35119882	0.36752343	0.3534173	0.36936346	0.26417464	0.29018205
0.26448146	0.2922399	0.3505296	0.3679294	0.35281163	0.3706935	0.26338872	0.29021555
0.26305148	0.29010144	0.3524926	0.3696712	0.35302198	0.369067	0.26509255	0.29070094
0.2670672	0.29334235	0.3526081	0.37105432	0.3538829	0.37217084	0.26608032	0.2928938
0.26662737	0.29291016	0.35432062	0.37154365	0.35365683	0.37205905	0.26546127	0.29344267
0.26680723	0.29295442	0.3542555	0.37152588	0.35545167	0.37286374	0.2652238	0.29304323
0.26604033	0.29321358	0.3549344	0.37159017	0.35713387	0.3732177	0.26563692	0.2930854
0.26491663	0.2921492	0.35540366	0.3720776	0.3541483	0.37199262	0.26546675	0.29287612
0.26543137	0.2928519	0.35558492	0.37211242	0.3554993	0.37359458	0.26592427	0.2931194
0.26718488	0.29366764	0.3561267	0.37369522	0.3572047	0.37323922	0.265855	0.2931332
0.26655778	0.29330197	0.3567061	0.37285268	0.35640404	0.37367642	0.26719493	0.29326686
0.26674348	0.2933678	0.35806814	0.37513548	0.35746285	0.37455302	0.2667993	0.29343843
0.26907533	0.2950585	0.35988498	0.3757687	0.35874146	0.3745854	0.26937968	0.29481632
0.26673543	0.29432818	0.3581581	0.37502506	0.35882738	0.37489992	0.26892698	0.29615426
0.2679405	0.29408658	0.35847515	0.3742413	0.35765395	0.3739544	0.26822743	0.2939461
0.26889446	0.2954097	0.3587824	0.3755604	0.35943535	0.3755306	0.26926285	0.2953264
0.2706069	0.2959633	0.35910055	0.37570375	0.36141276	0.3772856	0.2703869	0.2962458
0.26980686	0.29439706	0.36059186	0.37553668	0.3615287	0.37584934	0.27004203	0.29553884
0.26981968	0.29554808	0.36047328	0.37583452	0.36107937	0.3770035	0.2697432	0.29555067
0.26878765	0.2945067	0.36052352	0.37608576	0.36087513	0.375353	0.2702371	0.29603884
0.27259755	0.2970181	0.36366662	0.37759852	0.3628194	0.37715486	0.27313465	0.29796723
