ndcg_5	ndcg_10	lndcg_5	lndcg_10	lndcg1_5	lndcg1_10	ndcg1_5	ndcg1_10
0.1806599	0.20824847	0.26013035	0.28250617	0.26196316	0.2843247	0.18248284	0.21006158
0.18373187	0.21112971	0.26348516	0.28540877	0.2652709	0.28719443	0.18551157	0.21291104
0.18796673	0.2144773	0.26753208	0.28884935	0.2693079	0.29062814	0.18975773	0.21626703
0.1899929	0.21849595	0.27057695	0.29259953	0.27231982	0.29437634	0.19175284	0.22027628
0.19291162	0.22123411	0.27442396	0.29544	0.27620968	0.2972273	0.19469734	0.2230184
0.19957487	0.22624463	0.28067198	0.3004171	0.28252366	0.30220675	0.20133512	0.2280323
0.20266546	0.23059177	0.2835943	0.30501655	0.28538	0.30680227	0.20445117	0.23237869
0.2054158	0.23250997	0.28701904	0.30725282	0.2887949	0.30903038	0.20720151	0.23429686
0.20994289	0.23654608	0.2924984	0.31175905	0.29428408	0.31354353	0.21172331	0.2383289
0.2151017	0.24061854	0.29788783	0.31606147	0.29967356	0.3178472	0.21688214	0.24240023
0.2161944	0.2431496	0.2994014	0.3189204	0.30114806	0.32070252	0.21798013	0.24493457
0.21760201	0.24512278	0.30193692	0.32129166	0.30372256	0.32307735	0.21939683	0.24691527
0.22134459	0.24903215	0.30581927	0.32543182	0.307644	0.32721972	0.22312503	0.25081488
0.225902	0.25403026	0.31033614	0.3304977	0.31205976	0.33228624	0.22769539	0.2558126
0.22749057	0.25729132	0.31248018	0.3339979	0.31432077	0.3357971	0.22931342	0.25908214
0.23196214	0.26024035	0.31680354	0.3368927	0.31862834	0.33867913	0.23374298	0.2620019
0.2349937	0.26423565	0.31972733	0.34102446	0.32152268	0.34281686	0.23685916	0.26607957
0.23729791	0.26626337	0.3219684	0.3430508	0.3237605	0.34482214	0.23907737	0.26803365
0.24165562	0.2695743	0.32654783	0.3465344	0.32833356	0.34832013	0.24344131	0.27135965
0.24585241	0.27198485	0.3307396	0.349024	0.33253425	0.35081586	0.24763598	0.27376822
0.24772963	0.27465868	0.33338144	0.3520796	0.33516017	0.3538604	0.24952136	0.2764488
0.25101185	0.27480572	0.33649144	0.35160398	0.33826718	0.35338148	0.25274622	0.2765548
0.2508148	0.2773081	0.3366059	0.35394996	0.3383805	0.35572734	0.2525945	0.27908945
0.2544004	0.27932674	0.34031028	0.35630393	0.34208485	0.3580813	0.25613478	0.2810751
0.25746462	0.2831501	0.34413922	0.3609249	0.34598967	0.36275488	0.2592321	0.2849415
0.25701603	0.28313327	0.34318882	0.3607761	0.34493867	0.36253744	0.25885916	0.2849609
0.26029506	0.28500563	0.34702364	0.36293897	0.3488606	0.36476	0.26207605	0.28678766
0.26077545	0.28628746	0.34761274	0.36473972	0.34928778	0.36645165	0.26256114	0.28807318
0.2628079	0.2895939	0.3493628	0.36871573	0.35115272	0.37050292	0.2646085	0.29137072
0.26638186	0.29046234	0.35340163	0.3690887	0.3551873	0.370846	0.26816756	0.29226696
0.26634106	0.29055876	0.35350522	0.3698181	0.35529682	0.3715785	0.2681268	0.29234555
0.26628342	0.289793	0.35354248	0.3689333	0.35534	0.37072784	0.26806912	0.2915798
0.2643184	0.28984216	0.3516247	0.36972576	0.3534434	0.37151346	0.2660836	0.2916265
0.2660055	0.29140642	0.35302022	0.37112722	0.35480592	0.3729129	0.26779124	0.29319078
0.26570728	0.29033566	0.35360843	0.37037784	0.35539415	0.37216258	0.26748338	0.29211447
0.26579046	0.28995067	0.35407242	0.3703646	0.35585812	0.37215152	0.26757622	0.29173717
0.26663885	0.2910563	0.355437	0.3717384	0.3572227	0.37352413	0.26840407	0.29284143
0.26684946	0.29072195	0.35539255	0.37144172	0.35717824	0.37325588	0.26863518	0.2924887
0.26827005	0.29168347	0.35625947	0.37214905	0.35804516	0.37393478	0.27005574	0.29345027
0.26799372	0.2920657	0.35634196	0.37237003	0.35812768	0.37415576	0.26979995	0.29385224
0.2678552	0.29134703	0.3564895	0.37181178	0.35827523	0.3735691	0.2696409	0.2931327
0.26986408	0.29368037	0.35780618	0.3739367	0.3595919	0.37569404	0.27164975	0.29546547
0.26805195	0.2924269	0.35639498	0.37284142	0.35814774	0.3746266	0.2698377	0.2942135
0.26901156	0.29270038	0.3577018	0.37338123	0.35945457	0.37519342	0.27079722	0.29448608
0.27043322	0.29395282	0.3589551	0.37494332	0.3607408	0.37672788	0.2722189	0.29573855
0.27014303	0.29424253	0.35877338	0.37477347	0.36059204	0.37654227	0.27190825	0.29602683
0.2705697	0.29520974	0.35895652	0.37588048	0.36074224	0.3776676	0.2723759	0.29699683
0.27155715	0.29411253	0.36015284	0.37486303	0.36197153	0.3766495	0.2733223	0.29589763
0.27352583	0.2957135	0.3618188	0.37614167	0.3636045	0.37792736	0.27531156	0.29749918
0.2731048	0.29523128	0.3617538	0.3759924	0.36353952	0.37777668	0.27489048	0.2970177
