ndcg_5	ndcg_10	lndcg_5	lndcg_10	lndcg1_5	lndcg1_10	ndcg1_5	ndcg1_10
0.41963163	0.5000849	0.5343219	0.60278696	0.5507749	0.6200682	0.4355158	0.5151742
0.40810525	0.48666343	0.52778345	0.6001311	0.54792386	0.62127143	0.43414235	0.5130478
0.4146429	0.49405828	0.52938527	0.59932417	0.5475097	0.61693686	0.4339118	0.5145646
0.4155143	0.49327004	0.53068817	0.599124	0.55359644	0.6226922	0.4353794	0.5183036
0.41402036	0.49707353	0.53094333	0.60233194	0.5577659	0.6274681	0.43949714	0.5179311
0.40614766	0.48785332	0.52314675	0.596989	0.55131936	0.623475	0.43530712	0.5151981
0.41079408	0.4910834	0.5322885	0.60122716	0.54535013	0.6179276	0.43134776	0.5139933
0.41910538	0.4981635	0.5266914	0.5998911	0.54857475	0.6208124	0.44199958	0.51877725
0.4124646	0.49919444	0.5314171	0.60108715	0.5579886	0.6258955	0.430782	0.51298374
0.41718537	0.49815997	0.5287778	0.5982902	0.5551259	0.62380916	0.43775368	0.51995105
0.42513898	0.50094706	0.538109	0.6048802	0.55927294	0.6254296	0.4330571	0.51648015
0.41427037	0.4946842	0.5301812	0.59881127	0.550576	0.6232233	0.43744653	0.5171936
0.41464606	0.49721244	0.53743184	0.6055551	0.5534727	0.62078416	0.44004637	0.5226989
0.4187317	0.500064	0.53491557	0.602886	0.56182325	0.62872803	0.4533027	0.5309916
0.41443378	0.49753815	0.5369533	0.60527974	0.558488	0.6278988	0.4352082	0.5191314
0.4199903	0.49708	0.53142136	0.60122055	0.5528266	0.62338597	0.44596502	0.52908635
0.41777208	0.49546617	0.5228572	0.5968129	0.55464655	0.6246037	0.43337694	0.5175414
0.41193113	0.49370325	0.533453	0.6037687	0.55159676	0.62247986	0.44209585	0.52268624
0.43180233	0.508215	0.53489673	0.60381585	0.55609924	0.6257222	0.44028348	0.52154
0.42289174	0.5049591	0.5357581	0.6040149	0.54962313	0.62169725	0.44715902	0.52934444
0.41769597	0.49968153	0.5438565	0.61019665	0.56232417	0.6289507	0.4405715	0.52011675
0.42256615	0.5039238	0.5348849	0.60392666	0.5555356	0.627108	0.4435417	0.52396375
0.41795534	0.499174	0.53744525	0.60651237	0.56080204	0.6273891	0.43281263	0.5187273
0.42181566	0.5003778	0.5304761	0.60131943	0.5540547	0.6240238	0.44750518	0.5229948
0.41743997	0.5013027	0.5378516	0.6065929	0.56004155	0.6274668	0.43976417	0.5203213
