ndcg_5	ndcg_10	lndcg_5	lndcg_10	lndcg1_5	lndcg1_10	ndcg1_5	ndcg1_10
0.40791386	0.49079663	0.5284557	0.6011631	0.546623	0.6193305	0.42608127	0.5089641
0.40111598	0.48168144	0.5234182	0.5943129	0.54158574	0.6124804	0.41928327	0.49984905
0.39563233	0.4778158	0.5186901	0.5909009	0.5368575	0.60906833	0.41379964	0.4959834
0.39512277	0.47652853	0.51871645	0.59021145	0.5368839	0.6083789	0.4132903	0.49469605
0.3978996	0.4787607	0.52093476	0.59142447	0.5391211	0.60960495	0.4160541	0.49691522
0.3982273	0.4799943	0.52213776	0.5932217	0.54030526	0.6113891	0.41639477	0.4981619
0.3954635	0.47826344	0.5183798	0.5910356	0.53654724	0.609203	0.4136309	0.4964281
0.3981626	0.48121294	0.52076894	0.59362525	0.5389364	0.6117952	0.41632986	0.49938223
0.40552217	0.4872272	0.5272373	0.59787995	0.5454049	0.6160454	0.42368942	0.50538796
0.40066862	0.48439983	0.5217318	0.59531283	0.5399585	0.613488	0.41887367	0.50254357
0.39876324	0.48382372	0.5187876	0.5939818	0.5370104	0.6121563	0.41691494	0.5020026
0.40289423	0.4830352	0.52394867	0.59420294	0.5421161	0.6123704	0.4210617	0.50120246
0.406909	0.48982376	0.52953523	0.6010809	0.54770267	0.61924845	0.42507654	0.5079913
0.42218298	0.5040907	0.5404152	0.6108559	0.55858266	0.6290233	0.4403503	0.52225804
0.42856193	0.51046956	0.5437222	0.61369795	0.5619541	0.6319225	0.44668055	0.5286234
0.42190698	0.5040196	0.5396752	0.6097569	0.55780506	0.62785673	0.43999103	0.5221421
0.42476627	0.5066702	0.54246086	0.61246294	0.56078947	0.63083	0.4429206	0.5247877
0.4194055	0.49926358	0.53867173	0.60732424	0.55672264	0.6255052	0.4375945	0.51742107
0.42869437	0.5096112	0.5445236	0.6137798	0.5630421	0.6322453	0.446873	0.5277106
0.43641618	0.518027	0.550643	0.62074876	0.5688733	0.63903296	0.45484778	0.53641605
0.42801067	0.5098346	0.544494	0.6154209	0.5628766	0.6336893	0.4460913	0.527979
0.4211627	0.5039495	0.5370034	0.60963297	0.55537957	0.6280055	0.4393746	0.52215624
0.425909	0.5086519	0.54132944	0.6125505	0.5595587	0.63084364	0.4439786	0.5267422
0.42718264	0.50943106	0.54209656	0.6133766	0.56026417	0.631546	0.44542646	0.5276365
0.4141408	0.49429277	0.5319393	0.6024436	0.55010927	0.62068534	0.43234012	0.51245636
