ndcg_5	ndcg_10	lndcg_5	lndcg_10	lndcg1_5	lndcg1_10	ndcg1_5	ndcg1_10
0.20472413	0.23433821	0.2246762	0.2525342	0.3624358	0.39956814	0.3548529	0.3859759
0.23164418	0.2654196	0.24524468	0.27185977	0.3880892	0.4133816	0.37439474	0.4029143
0.24469312	0.28263414	0.27348405	0.2973045	0.40822688	0.43202618	0.3954004	0.4302834
0.24606816	0.27473465	0.25767046	0.2887425	0.40553242	0.43067273	0.39157856	0.4205734
0.23968567	0.27225104	0.25970024	0.2860484	0.39787745	0.42860514	0.39278457	0.417858
0.24599704	0.27525502	0.24838035	0.27644914	0.39686257	0.42721704	0.37938803	0.4118057
0.24392131	0.2726158	0.25133702	0.27946925	0.39798293	0.42654523	0.38574588	0.4165507
0.23766735	0.2704984	0.24113934	0.2711006	0.39662272	0.42353657	0.3798289	0.41091838
0.23722371	0.26936617	0.2457684	0.27752486	0.39903378	0.4280859	0.37206942	0.4051608
0.2364088	0.26593587	0.25006086	0.2800578	0.39226675	0.42223877	0.3771489	0.40971068
