ndcg_5	ndcg_10	lndcg_5	lndcg_10	lndcg1_5	lndcg1_10	ndcg1_5	ndcg1_10
0.21895993	0.258349	0.22852255	0.26623866	0.35831618	0.39603218	0.34875357	0.38814256
0.2617075	0.30351666	0.2729965	0.31309	0.40279004	0.44288334	0.39150104	0.4333101
0.2948733	0.32291657	0.3079956	0.3351442	0.4377893	0.46493778	0.42466694	0.45270994
0.2853319	0.31611726	0.2980632	0.3270881	0.42785677	0.45688164	0.41512552	0.44591087
0.2698805	0.30366117	0.28151256	0.31444478	0.41130614	0.44423813	0.39967406	0.43345448
0.2583036	0.29350513	0.26978523	0.3038156	0.3995788	0.43360916	0.38809717	0.42329872
0.25753602	0.28772143	0.268495	0.29812315	0.39828855	0.42791668	0.38732952	0.4175149
0.25462267	0.28566685	0.26531792	0.2957677	0.3951114	0.42556128	0.3844162	0.41546032
0.24575643	0.2818967	0.2566886	0.29191783	0.3864821	0.4217113	0.37554994	0.41169024
0.24415508	0.27868825	0.25515908	0.28877318	0.3849526	0.41856673	0.3739486	0.40848184
